highpass_cutoff,min_silence_len,silence_thresh,transcripcion,num_chunks,palabras_validas,errores
80,200,-20,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],21,126,21
80,200,-25,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],21,126,21
80,200,-30,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],14,84,14
80,500,-20,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],17,102,17
80,500,-25,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],17,102,17
80,500,-30,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],8,48,8
80,800,-20,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],8,48,8
80,800,-25,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],8,48,8
80,800,-30,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],3,18,3
150,200,-20,[error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'] [error: 'WhisperForConditionalGeneration' object has no attribute 'feature_extractor'],20,120,20
